playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8482133,2023,Thomas Bordeleau,SJS,C,other,26,958.0,15.0,7.6,0.41,0.32,0.71,0.35,0.67,0.36,92.0,2.28,0.29,0.22,0.41,0.07,1.39,0.61,0.28,0.29,0.28,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.06,0.24,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.07,0.0,0.0,0.36,0.36,0.34,15.0,9.0,0.0,1.0,5.0,0.0,3.0,4.0,8.0,2.0,5.0,2010.0,0.0,0.0,0.0,0.0,14.0,3.08,2.55,3.08,2.55,11.0,7.0,7.0,25.0,1.0,2.0,0.0,6.0,8.0,4.0,0.31,1.02,1.74,1.0,0.0,0.0,25.0,18.0,18.0,0.39,1.05,1.05,2.42,2.42,2.17,5.96,4.36,4.36,4.36,4.36,7.0,2.0,1.0,10.0,5.0,0.0,0.0,2.0,1.0,6.0,0.07,0.16,4.13,0.0,0.0,5.0,10.0,9.0,9.0,0.06,0.0,0.0,4.42,4.42,4.42,2.68,5.59,31.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
8482133,2023,Thomas Bordeleau,SJS,C,all,26,23378.0,463.0,7.93,0.52,0.33,0.54,0.39,0.54,0.38,179.0,50.34,5.6,4.09,11.87,1.9,28.16,18.38,5.29,5.57,5.26,3.0,2.0,45.0,25.0,13.0,83.0,11.0,6.0,7.0,0.0,10.0,0.0,24.0,23.0,39.0,64.0,9.0,18.0,64.0,12.0,10.0,5.0,42.0,22.0,6.0,1.42,2.6,1.58,1.0,3.0,2.0,82.0,70.0,68.94,1.0,0.93,1.49,0.91,5.61,5.56,5.33,463.0,79.0,52.0,72.0,260.0,41.0,61.0,78.0,283.0,64.0,59.0,70954.0,18.0,12.0,6.0,19.0,227.16,22.96,21.42,22.69,21.15,195.0,117.0,108.0,420.0,17.0,22.0,1.0,211.0,77.0,24.0,5.8,9.44,7.72,6.0,7.0,4.0,411.84,312.0,306.2,3.77,4.79,4.79,21.95,21.67,20.84,189.5,21.16,20.35,21.59,20.75,191.0,70.0,98.0,359.0,24.0,19.0,2.0,189.0,45.0,27.0,5.8,5.39,9.96,8.0,11.0,5.0,372.66,261.0,267.6,2.54,4.38,4.38,19.31,19.68,19.32,39.28,80.92,946.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0
8482133,2023,Thomas Bordeleau,SJS,C,5on5,26,18070.0,395.0,7.93,0.43,0.38,0.47,0.43,0.48,0.43,196.0,37.88,3.56,2.78,9.72,1.37,19.97,14.6,3.41,3.53,3.38,2.0,0.0,34.0,18.0,11.0,63.0,4.0,2.0,5.0,0.0,8.0,0.0,18.0,19.0,32.0,50.0,7.0,14.0,37.0,10.0,8.0,4.0,36.0,14.0,2.0,1.26,1.73,0.57,1.0,1.0,0.0,62.0,52.0,50.94,1.0,0.58,0.89,0.91,3.23,3.18,3.12,395.0,33.0,50.0,66.0,246.0,36.0,55.0,60.0,244.0,37.0,30.0,58618.0,14.0,12.0,6.0,19.0,150.91,11.14,10.77,10.86,10.49,128.0,79.0,77.0,284.0,5.0,15.0,0.0,158.0,42.0,7.0,4.08,5.21,1.85,3.0,2.0,0.0,275.84,207.0,201.2,1.97,2.39,2.39,10.72,10.45,10.24,163.46,14.89,14.14,15.33,14.55,162.0,63.0,94.0,319.0,18.0,18.0,1.0,167.0,40.0,18.0,5.16,4.66,5.06,8.0,10.0,0.0,332.66,225.0,231.6,2.22,4.21,4.21,12.9,13.26,12.97,31.42,50.99,827.0,1077.0,0.4,0.96,13.0,12.0,10.0,11.0
8482133,2023,Thomas Bordeleau,SJS,C,4on5,26,4.0,1.0,0.28,0.0,0.07,0.0,0.04,0.0,0.05,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,2.26,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
8482133,2023,Thomas Bordeleau,SJS,C,5on4,26,4346.0,52.0,8.9,0.84,0.74,0.8,0.7,0.78,0.63,85.0,10.18,1.75,1.08,1.74,0.45,6.81,3.18,1.6,1.75,1.6,1.0,2.0,10.0,5.0,2.0,17.0,7.0,4.0,2.0,0.0,1.0,0.0,4.0,4.0,6.0,11.0,1.0,2.0,25.0,1.0,2.0,1.0,5.0,6.0,4.0,0.11,0.64,1.0,0.0,2.0,2.0,17.0,15.0,15.0,0.0,0.27,0.6,0.0,2.02,2.02,1.86,52.0,36.0,2.0,5.0,9.0,5.0,3.0,13.0,31.0,25.0,0.0,2772.0,2.0,0.0,0.0,0.0,60.78,8.7,8.05,8.7,8.05,55.0,30.0,24.0,109.0,11.0,5.0,1.0,45.0,27.0,13.0,1.36,3.21,4.13,2.0,5.0,4.0,109.0,85.0,85.0,1.39,1.35,1.35,8.74,8.74,8.37,17.84,1.71,1.65,1.71,1.65,20.0,4.0,3.0,27.0,1.0,1.0,1.0,18.0,3.0,3.0,0.5,0.45,0.77,0.0,1.0,0.0,27.0,24.0,24.0,0.21,0.17,0.17,1.76,1.76,1.69,4.19,1.49,56.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2023,Ilya Lyubushkin,TOR,D,other,72,2881.0,56.0,5.08,0.37,0.45,0.28,0.51,0.31,0.48,179.0,1.38,0.24,0.11,0.32,0.07,0.87,0.39,0.23,0.24,0.23,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.03,0.0,0.21,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.03,0.46,0.21,0.06,0.06,0.06,56.0,5.0,20.0,8.0,23.0,4.0,17.0,12.0,23.0,0.0,0.0,7697.0,0.0,2.0,1.0,10.0,22.73,6.02,5.5,6.02,5.5,21.0,10.0,6.0,37.0,5.0,3.0,1.0,19.0,2.0,10.0,0.77,0.17,5.08,1.0,0.0,4.0,37.0,31.0,31.0,0.38,1.14,1.14,5.26,5.26,4.79,52.18,10.07,7.26,10.07,7.26,46.0,22.0,28.0,96.0,8.0,9.0,1.0,32.0,20.0,16.0,1.24,2.52,6.31,0.0,4.0,4.0,96.0,68.0,68.0,1.21,2.53,2.53,8.75,8.75,6.64,18.0,21.61,195.0,191.0,0.11,0.02,3.0,1.0,3.0,1.0
8480950,2023,Ilya Lyubushkin,TOR,D,all,72,73793.0,1666.0,5.7,0.37,0.51,0.38,0.51,0.39,0.5,321.0,50.84,2.68,2.66,14.09,1.92,27.43,22.22,2.59,2.64,2.55,4.0,4.0,46.0,25.0,32.0,103.0,8.0,0.0,3.0,0.0,8.0,0.0,23.0,37.0,46.0,71.0,21.0,45.0,0.0,167.0,23.0,40.0,64.0,5.0,2.0,1.41,0.67,0.61,0.0,0.0,0.0,101.98,71.0,69.89,33.0,0.56,0.7,0.78,2.45,2.44,2.41,1666.0,139.0,278.0,266.0,983.0,174.0,254.0,202.0,1036.0,0.0,0.0,187900.0,45.0,23.0,10.0,165.0,512.8,47.01,44.88,46.44,44.34,514.0,186.0,231.0,931.0,42.0,47.0,7.0,536.0,116.0,48.0,15.23,15.41,16.37,10.0,19.0,13.0,917.6,700.0,689.58,6.83,10.71,11.07,42.77,42.24,41.17,813.1,81.08,75.22,81.74,75.88,773.0,338.0,419.0,1530.0,83.0,92.0,12.0,801.0,217.0,93.0,21.79,27.08,32.2,24.0,31.0,28.0,1545.47,1111.0,1121.41,13.52,18.54,18.54,76.05,76.78,72.83,170.1,165.12,3124.0,3051.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2023,Ilya Lyubushkin,TOR,D,5on5,72,60018.0,1348.0,5.7,0.46,0.5,0.46,0.5,0.46,0.5,337.0,46.68,2.38,2.37,12.85,1.72,25.4,20.29,2.3,2.34,2.27,4.0,4.0,40.0,25.0,30.0,95.0,8.0,0.0,2.0,0.0,8.0,0.0,21.0,34.0,40.0,65.0,19.0,41.0,0.0,149.0,20.0,36.0,59.0,5.0,1.0,1.31,0.67,0.4,0.0,0.0,0.0,93.98,65.0,63.89,29.0,0.48,0.24,0.57,2.28,2.27,2.24,1348.0,130.0,135.0,237.0,846.0,158.0,189.0,148.0,853.0,0.0,0.0,143613.0,41.0,15.0,6.0,103.0,469.9,39.52,37.91,38.96,37.38,471.0,172.0,220.0,863.0,36.0,44.0,6.0,497.0,110.0,36.0,14.12,14.81,10.59,9.0,19.0,8.0,849.6,643.0,632.58,6.21,9.57,9.93,35.81,35.27,34.67,541.13,45.61,44.05,46.27,44.7,515.0,226.0,279.0,1020.0,46.0,56.0,7.0,559.0,132.0,50.0,15.36,16.76,13.5,18.0,17.0,11.0,1035.47,741.0,751.41,7.35,10.36,10.36,42.6,43.32,42.6,103.64,102.02,2237.0,2256.0,6.12,0.64,132.0,11.0,102.0,8.0
8480950,2023,Ilya Lyubushkin,TOR,D,4on5,72,10770.0,249.0,4.65,0.05,0.14,0.06,0.13,0.08,0.15,199.0,1.96,0.05,0.12,0.54,0.1,0.84,1.35,0.05,0.05,0.05,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,4.0,0.0,17.0,3.0,4.0,3.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,0.03,0.0,0.0,0.08,0.08,0.07,249.0,1.0,123.0,21.0,104.0,9.0,47.0,41.0,152.0,0.0,0.0,14591.0,4.0,0.0,0.0,0.0,19.34,1.45,1.45,1.45,1.45,21.0,4.0,2.0,27.0,1.0,0.0,0.0,19.0,4.0,2.0,0.32,0.43,0.7,0.0,0.0,1.0,27.0,25.0,25.0,0.22,0.0,0.0,1.68,1.68,1.67,218.95,25.33,23.86,25.33,23.86,212.0,89.0,111.0,412.0,29.0,27.0,4.0,209.0,65.0,27.0,5.13,7.8,12.4,6.0,10.0,13.0,412.0,301.0,301.0,4.94,5.65,5.65,24.62,24.62,23.51,4.28,26.03,68.0,457.0,0.11,0.0,4.0,0.0,3.0,0.0
8480950,2023,Ilya Lyubushkin,TOR,D,5on4,72,124.0,13.0,3.45,1.0,0.81,0.8,0.85,1.0,0.84,45.0,0.83,0.02,0.06,0.38,0.03,0.33,0.19,0.02,0.02,0.02,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.02,0.0,0.0,0.04,0.04,0.04,13.0,3.0,0.0,0.0,10.0,3.0,1.0,1.0,8.0,0.0,0.0,3548.0,0.0,0.0,0.0,6.0,0.83,0.02,0.02,0.02,0.02,1.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.02,0.0,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03,1.37,106.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
8479330,2023,Brandon Gignac,MTL,C,other,7,30.0,1.0,-0.34,0.0,0.52,0.0,0.25,0.0,0.25,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.01,0.01,0.01,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.02,0.02,0.02,0.11,0.1,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8479330,2023,Brandon Gignac,MTL,C,all,7,4891.0,111.0,-0.13,0.4,0.52,0.38,0.53,0.38,0.54,68.0,6.84,0.94,0.52,1.45,0.21,3.44,2.43,0.9,0.89,0.85,0.0,0.0,7.0,2.0,1.0,10.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,6.0,8.0,0.0,0.0,24.0,5.0,3.0,6.0,4.0,4.0,1.0,0.16,0.52,0.26,0.0,1.0,0.0,9.83,9.0,8.74,4.0,0.11,0.0,0.0,1.06,1.0,0.95,111.0,10.0,11.0,15.0,75.0,18.0,18.0,14.0,61.0,24.0,29.0,20309.0,0.0,2.0,1.0,7.0,32.17,2.24,2.19,2.18,2.13,31.0,14.0,19.0,64.0,1.0,0.0,0.0,36.0,8.0,1.0,0.99,0.99,0.26,0.0,1.0,0.0,63.82,45.0,45.27,0.43,0.0,0.0,2.67,2.6,2.55,51.65,3.36,3.25,3.48,3.36,56.0,18.0,31.0,105.0,5.0,5.0,0.0,65.0,7.0,2.0,1.76,0.8,0.8,2.0,2.0,1.0,106.09,74.0,75.02,0.93,0.15,0.15,4.15,4.28,4.14,18.26,16.82,353.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0
8479330,2023,Brandon Gignac,MTL,C,5on5,7,3897.0,84.0,-0.13,0.45,0.52,0.4,0.52,0.4,0.53,69.0,6.84,0.94,0.52,1.45,0.21,3.44,2.43,0.9,0.89,0.85,0.0,0.0,7.0,2.0,0.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,6.0,8.0,0.0,0.0,20.0,5.0,2.0,5.0,4.0,4.0,1.0,0.16,0.52,0.26,0.0,1.0,0.0,8.83,9.0,8.74,3.0,0.11,0.0,0.0,1.06,1.0,0.95,84.0,9.0,6.0,12.0,57.0,15.0,14.0,10.0,45.0,20.0,21.0,15576.0,0.0,2.0,1.0,7.0,26.52,1.96,1.92,1.9,1.85,25.0,12.0,18.0,55.0,1.0,0.0,0.0,30.0,6.0,1.0,0.91,0.79,0.26,0.0,1.0,0.0,54.82,37.0,37.27,0.34,0.0,0.0,2.3,2.23,2.19,37.32,2.4,2.37,2.51,2.48,40.0,16.0,27.0,83.0,4.0,1.0,0.0,49.0,6.0,1.0,1.49,0.71,0.21,2.0,2.0,0.0,84.09,56.0,57.02,0.5,0.07,0.07,2.83,2.96,2.92,11.64,10.58,264.0,245.0,0.03,0.05,2.0,4.0,1.0,3.0
8479330,2023,Brandon Gignac,MTL,C,4on5,7,705.0,19.0,-0.13,0.12,0.08,0.13,0.1,0.16,0.1,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,5.0,1.0,13.0,1.0,3.0,3.0,12.0,2.0,2.0,1628.0,0.0,0.0,0.0,0.0,2.03,0.11,0.11,0.11,0.11,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.02,0.0,0.0,0.13,0.13,0.13,12.68,0.86,0.78,0.86,0.78,14.0,2.0,4.0,20.0,1.0,4.0,0.0,15.0,0.0,1.0,0.26,0.0,0.6,0.0,0.0,1.0,20.0,16.0,16.0,0.41,0.08,0.08,1.19,1.19,1.1,0.42,5.0,5.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
8479330,2023,Brandon Gignac,MTL,C,5on4,7,259.0,7.0,-0.87,0.64,0.93,0.86,0.78,0.83,0.81,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,5.0,2.0,0.0,1.0,4.0,1.0,3.0,789.0,0.0,0.0,0.0,0.0,3.61,0.17,0.16,0.17,0.16,3.0,2.0,1.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0,0.05,0.12,0.0,0.0,0.0,0.0,6.0,5.0,5.0,0.07,0.0,0.0,0.24,0.24,0.23,0.89,0.1,0.1,0.1,0.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.11,0.11,0.11,1.75,0.14,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8470610,2023,Zach Parise,COL,L,other,29,406.0,10.0,4.31,0.14,0.54,0.3,0.6,0.27,0.61,72.0,0.8,0.16,0.04,0.12,0.02,0.3,0.35,0.16,0.16,0.16,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.17,0.17,0.17,10.0,1.0,2.0,0.0,7.0,2.0,1.0,3.0,4.0,0.0,1.0,1320.0,0.0,0.0,0.0,0.0,3.07,0.38,0.38,0.38,0.38,4.0,0.0,2.0,6.0,1.0,0.0,0.0,2.0,2.0,0.0,0.08,0.3,0.0,0.0,1.0,0.0,6.0,4.0,4.0,0.05,0.0,0.0,0.43,0.43,0.43,7.65,2.27,2.26,2.27,2.26,8.0,3.0,3.0,14.0,3.0,2.0,0.0,5.0,2.0,4.0,0.17,0.31,1.79,0.0,0.0,3.0,14.0,11.0,11.0,0.17,0.07,0.07,2.36,2.36,2.36,5.51,4.61,38.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
8470610,2023,Zach Parise,COL,L,all,29,22612.0,546.0,8.72,0.46,0.5,0.47,0.53,0.46,0.53,227.0,44.78,5.6,3.46,10.71,1.51,21.31,16.4,5.21,5.7,5.32,2.0,3.0,47.0,12.0,16.0,75.0,9.0,4.0,9.0,0.0,7.0,0.0,20.0,19.0,43.0,55.0,4.0,8.0,13.0,19.0,10.0,4.0,36.0,17.0,6.0,1.46,2.5,1.64,0.0,3.0,1.0,78.12,59.0,60.8,1.0,0.77,1.62,1.0,5.37,5.46,5.27,546.0,56.0,71.0,76.0,343.0,86.0,66.0,51.0,343.0,13.0,28.0,82859.0,8.0,2.0,1.0,24.0,188.4,19.05,18.12,19.18,18.25,197.0,56.0,115.0,368.0,12.0,18.0,3.0,180.0,52.0,21.0,5.7,6.9,6.45,5.0,4.0,3.0,374.56,253.0,257.0,2.69,4.53,4.53,17.21,17.38,17.06,222.89,22.04,20.68,22.3,20.88,211.0,91.0,120.0,422.0,22.0,25.0,4.0,218.0,62.0,22.0,5.93,7.93,8.18,6.0,8.0,8.0,424.51,302.0,303.27,3.41,4.5,4.5,20.94,21.06,20.57,79.72,80.17,1551.0,1353.0,0.0,0.0,0.0,0.0,0.0,0.0
8470610,2023,Zach Parise,COL,L,5on5,29,19845.0,464.0,8.72,0.53,0.53,0.49,0.54,0.49,0.53,216.0,38.58,4.4,2.76,9.52,1.3,18.7,14.31,4.22,4.5,4.33,1.0,2.0,40.0,11.0,14.0,65.0,6.0,3.0,8.0,0.0,7.0,0.0,18.0,15.0,37.0,48.0,3.0,6.0,11.0,19.0,9.0,4.0,34.0,12.0,5.0,1.32,1.74,1.35,0.0,2.0,1.0,68.12,51.0,52.8,1.0,0.58,1.32,0.71,4.28,4.38,4.28,464.0,48.0,55.0,72.0,289.0,78.0,59.0,39.0,288.0,11.0,19.0,66929.0,6.0,2.0,1.0,22.0,175.29,16.64,15.92,16.77,16.05,181.0,55.0,105.0,341.0,9.0,16.0,2.0,172.0,45.0,19.0,5.37,5.81,5.46,4.0,3.0,2.0,347.56,236.0,240.0,2.36,3.54,3.54,15.46,15.63,15.41,181.18,14.83,13.69,15.09,13.89,174.0,72.0,106.0,352.0,15.0,19.0,4.0,184.0,50.0,12.0,4.83,6.36,3.64,6.0,6.0,3.0,354.51,246.0,247.27,2.47,4.02,4.02,13.28,13.39,13.07,54.45,48.26,1236.0,1069.0,0.65,0.4,12.0,7.0,10.0,6.0
